Id,Id2,Geography,Estimate; Total:,Under 50K,Over 50K
8600000US50540,50540,ZCTA5 50540,399,220,179
8600000US50541,50541,ZCTA5 50541,351,198,153
8600000US50542,50542,ZCTA5 50542,451,223,228
8600000US50543,50543,ZCTA5 50543,636,328,308
8600000US50544,50544,ZCTA5 50544,204,117,87
8600000US50545,50545,ZCTA5 50545,97,41,56
8600000US50546,50546,ZCTA5 50546,128,77,51
8600000US50548,50548,ZCTA5 50548,2516,1294,1222
8600000US50551,50551,ZCTA5 50551,38,20,18
8600000US50554,50554,ZCTA5 50554,759,415,344
8600000US50556,50556,ZCTA5 50556,123,81,42
8600000US50557,50557,ZCTA5 50557,346,185,161
8600000US50558,50558,ZCTA5 50558,293,128,165
8600000US50559,50559,ZCTA5 50559,143,66,77
8600000US50560,50560,ZCTA5 50560,231,127,104
8600000US50561,50561,ZCTA5 50561,203,106,97
8600000US50562,50562,ZCTA5 50562,230,128,102
8600000US50563,50563,ZCTA5 50563,1176,661,515
8600000US50565,50565,ZCTA5 50565,228,130,98
8600000US50566,50566,ZCTA5 50566,168,95,73
8600000US50567,50567,ZCTA5 50567,101,46,55
8600000US50568,50568,ZCTA5 50568,631,266,365
8600000US50569,50569,ZCTA5 50569,338,190,148
8600000US50570,50570,ZCTA5 50570,94,36,58
8600000US50571,50571,ZCTA5 50571,178,79,99
8600000US50573,50573,ZCTA5 50573,19,13,6
8600000US50574,50574,ZCTA5 50574,971,519,452
8600000US50575,50575,ZCTA5 50575,501,285,216
8600000US50576,50576,ZCTA5 50576,137,59,78
8600000US50577,50577,ZCTA5 50577,177,84,93
8600000US50578,50578,ZCTA5 50578,316,188,128
8600000US50579,50579,ZCTA5 50579,1053,559,494
8600000US50581,50581,ZCTA5 50581,394,218,176
8600000US50582,50582,ZCTA5 50582,111,72,39
8600000US50583,50583,ZCTA5 50583,1296,678,618
8600000US50585,50585,ZCTA5 50585,463,232,231
8600000US50586,50586,ZCTA5 50586,155,89,66
8600000US50588,50588,ZCTA5 50588,4494,2455,2039
8600000US50590,50590,ZCTA5 50590,428,270,158
8600000US50591,50591,ZCTA5 50591,119,54,65
8600000US50593,50593,ZCTA5 50593,26,19,7
8600000US50594,50594,ZCTA5 50594,111,55,56
8600000US50595,50595,ZCTA5 50595,3885,2066,1819
8600000US50597,50597,ZCTA5 50597,572,314,258
8600000US50598,50598,ZCTA5 50598,365,159,206
8600000US50599,50599,ZCTA5 50599,163,61,102
8600000US50601,50601,ZCTA5 50601,1084,566,518
8600000US50602,50602,ZCTA5 50602,715,268,447
8600000US50603,50603,ZCTA5 50603,263,147,116
8600000US50604,50604,ZCTA5 50604,730,296,434
8600000US50605,50605,ZCTA5 50605,78,33,45
8600000US50606,50606,ZCTA5 50606,385,216,169
8600000US50607,50607,ZCTA5 50607,194,107,87
8600000US50609,50609,ZCTA5 50609,181,79,102
8600000US50611,50611,ZCTA5 50611,177,75,102
8600000US50612,50612,ZCTA5 50612,139,34,105
8600000US50613,50613,ZCTA5 50613,15719,7087,8632
8600000US50616,50616,ZCTA5 50616,4520,2544,1976
