Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,04-14 Percentage,Total Enplanements,CY 14 Enplanements,CY 13 Enplanements,CY 12 Enplanements,CY 11 Enplanements,CY 10 Enplanements,CY 09 Boardings,CY 08 Boardings,CY2007 Enplanements,CY 2006 Enplanements,CY 05 Enplanements,CY 04 Enplanements
1302,SO,GA,BGE,Bainbridge,Decatur County Industrial Air Park,GA,None,0%,86,3,28,2,,,10,24,8,0,2,9
1336,SO,GA,TBR,Statesboro,Statesboro-Bulloch County,GA,None,0%,57,0,32,10,,,4,4,,,7,0
1319,NM,ID,MAN,Nampa,Nampa Municipal,GA,None,0%,28,0,28,0,,,,,,,,
1303,GL,IL,C73,Dixon,Dixon Municipal-Charles R Walgreen Field,GA,None,0%,0,0,,,,,,,,,,
1335,GL,IL,TAZ,Taylorville,Taylorville Municipal,GA,None,0%,4,4,,,,,,,,,,
1312,GL,IN,EYE,Indianapolis,Eagle Creek Airpark,GA,None,0%,364,41,8,61,64,23,4,13,25,26,78,21
1314,GL,IN,HFY,Greenwood,Greenwood Municipal,GA,None,0%,137,0,7,0,5,3,,,22,75,12,13
1326,GL,IN,PLD,Portland,Portland Municipal,GA,None,0%,18,4,6,0,,,,,2,0,6,0
1297,NE,MA,7B2,Northampton,Northampton,GA,None,0%,68,18,23,7,,,,,9,5,2,4
1324,EA,MD,OXB,Ocean City,Ocean City Municipal,GA,None,0%,132,0,11,0,,,12,56,16,24,6,7
1298,GL,MI,AMN,Alma,Gratiot Community,GA,None,0%,3,0,,,,,,,3,0,,
1315,GL,MI,HLM,Holland,Park Township,GA,None,0%,133,24,46,0,50,0,5,0,4,4,,
1330,GL,MI,RQB,Big Rapids,Roben-Hood,GA,None,0%,45,3,3,2,6,3,,,20,8,,
1340,GL,MI,Y70,Ionia,Ionia County,GA,None,0%,8,3,,,5,0,,,,,,
1329,CE,MO,RCM,Warrensburg,Skyhaven,GA,None,0%,11,0,,,,,7,4,,,,
1334,CE,MO,STJ,St. Joseph,Rosecrans Memorial,GA,None,0%,"2,225",0,116,167,105,149,209,346,191,528,393,21
1318,NM,MT,LWT,Lewistown,Lewistown Municipal,GA,None,0%,"6,223",3,157,343,348,704,1049,596,694,699,847,783
1308,SO,NC,ECG,Elizabeth City,Elizabeth City CG Air Station/Regional,GA,None,0%,173,7,32,3,,,12,15,24,75,2,3
1313,CE,NE,GRN,Gordon,Gordon Municipal,GA,None,0%,2,0,,,,,2,0,,,,
1323,CE,NE,OFK,Norfolk,Norfolk Regional/Karl Stefan Memorial Field,GA,None,0%,792,1,18,14,,,26,23,26,6,6,672
1292,EA,NJ,19N,Berlin,Camden County,GA,None,0%,21,4,2,4,10,1,,,,,,
1294,GL,OH,3G3,Wadsworth,Wadsworth Municipal,GA,None,0%,0,0,,,,,,,,,,
1327,GL,OH,PMH,Portsmouth,Greater Portsmouth Regional,GA,None,0%,17,1,3,2,,,,,11,0,,
1333,GL,OH,SGH,Springfield,Springfield-Beckley Municipal,GA,None,0%,438,14,51,50,9,109,13,64,87,11,16,14
1301,NM,OR,BDN,Bend,Bend Municipal,GA,None,0%,689,18,74,25,11,93,70,279,11,38,30,40
1304,NM,OR,CVO,Corvallis,Corvallis Municipal,GA,None,0%,259,28,64,22,40,12,9,25,14,24,9,12
1322,NM,OR,MMV,McMinnville,McMinnville Municipal,GA,None,0%,398,42,60,41,2,46,31,33,72,47,17,7
1332,NM,OR,S45,Gleneden Beach,Siletz Bay State,GA,None,0%,1,0,,,,,1,0,,,,
1339,EA,PA,VVS,Connellsville,Joseph A Hardy Connellsville,GA,None,0%,0,0,,,,,,,,,,
1338,SO,SC,UDG,Darlington,Darlington County,GA,None,0%,1,0,1,0,,,,,,,,
1293,SO,TN,1M5,Portland,Portland Municipal,GA,None,0%,22,0,2,0,,,6,0,12,0,2,0
1295,SO,TN,4TN7,Huntingdon,Bmh-H,GA,None,0%,0,0,,,,,,,,,,
1296,SW,TX,6R6,Dryden,Terrell County,GA,None,0%,0,0,,,,,,,,,,
1305,SW,TX,CXO,Conroe,Lone Star Executive,GA,None,0%,388,168,104,3,1,9,5,28,32,11,11,16
1309,SW,TX,ERV,Kerrville,Kerrville Municipal/Louis Schreiner Field,GA,None,0%,287,2,166,24,,,4,23,22,40,6,0
1337,NM,UT,U64,Monticello,Monticello,GA,None,0%,6,1,,,5,0,,,,,,
