Facility,Calendar Year,Itinerant Air Carrier,Itinerant Air Taxi,Itinerant General Aviation,Itinerant Military,Itinerant Total,Local Civil,Local Military,Local Total,Total Operations
CHO,2008,88,"23,729","41,967","1,824","67,608","19,702","2,616","22,318","89,926"
CHO,2009,30,"20,689","38,944","1,854","61,517","17,924","3,287","21,211","82,728"
CHO,2010,35,"19,463","41,125","2,032","62,655","17,351","2,968","20,319","82,974"
CHO,2011,17,"18,898","37,828","1,706","58,449","20,518","3,102","23,620","82,069"
CHO,2012,13,"17,711","33,455","2,267","53,446","20,520","3,951","24,471","77,917"
CHO,2013,45,"19,201","29,358","1,863","50,467","18,311","3,446","21,757","72,224"
CHO,2014,276,"20,238","31,014","1,987","53,515","21,186","4,402","25,588","79,103"
CHO,2015,990,"18,181","24,416","1,707","45,294","15,472","2,828","18,300","63,594"
Sub-Total for CHO,,"1,604","243,241","402,860","21,477","669,182","212,388","34,628","247,016","916,198"
CHS,2004,"9,993","42,480","29,900","18,133","100,506","4,243","18,807","23,050","123,556"
CHS,2005,"13,685","44,530","30,210","16,884","105,309","2,578","13,032","15,610","120,919"
CHS,2006,"16,284","32,713","30,854","16,982","96,833","2,388","10,980","13,368","110,201"
CHS,2007,"23,279","30,589","30,860","17,191","101,919","1,303","10,502","11,805","113,724"
CHS,2008,"20,187","32,361","27,668","15,927","96,143","2,393","10,367","12,760","108,903"
CHS,2009,"20,199","28,086","24,032","15,946","88,263","2,068","8,376","10,444","98,707"
CHS,2010,"19,857","27,956","25,622","18,363","91,798","1,978","8,206","10,184","101,982"
CHS,2011,"22,621","29,763","24,483","15,300","92,167","3,494","9,358","12,852","105,019"
CHS,2012,"24,144","27,501","22,122","14,078","87,845","7,460","9,918","17,378","105,223"
CHS,2013,"28,300","25,793","21,320","11,455","86,868","9,696","7,723","17,419","104,287"
CHS,2014,"29,743","24,287","22,605","15,063","91,698","5,001","9,083","14,084","105,782"
CHS,2015,"35,217","21,553","24,093","15,446","96,309","1,455","6,338","7,793","104,102"
Sub-Total for CHS,,"263,509","367,612","313,769","190,768","1,135,658","44,057","122,690","166,747","1,302,405"
CIC,2004,2,"5,590","27,079",509,"33,180","8,191",760,"8,951","42,131"
CIC,2005,3,"5,741","26,867",420,"33,031","7,498",778,"8,276","41,307"
CIC,2006,662,"8,194","24,961",657,"34,474","10,411",875,"11,286","45,760"
CIC,2007,808,"13,300","25,126",580,"39,814","13,692","1,157","14,849","54,663"
CIC,2008,997,"13,125","22,945","1,670","38,737","14,358","1,341","15,699","54,436"
CIC,2009,692,"9,127","23,147",546,"33,512","13,754","1,101","14,855","48,367"
CIC,2010,440,"9,860","18,652",526,"29,478","13,040","1,082","14,122","43,600"
CIC,2011,135,"9,976","19,661","1,713","31,485","15,074","5,242","20,316","51,801"
CIC,2012,0,"10,892","18,014","2,529","31,435","9,976","9,446","19,422","50,857"
CIC,2013,19,"10,884","19,284","2,933","33,120","7,434","9,976","17,410","50,530"
CIC,2014,209,"10,822","18,267","2,249","31,547","7,379","6,667","14,046","45,593"
CIC,2015,36,"8,139","20,661",629,"29,465","5,523","1,460","6,983","36,448"
Sub-Total for CIC,,"4,003","115,650","264,664","14,961","399,278","126,330","39,885","166,215","565,493"
CID,2004,"8,870","26,396","25,278",138,"60,682","8,418",84,"8,502","69,184"
CID,2005,"8,179","26,412","22,962",292,"57,845","8,088",6,"8,094","65,939"
CID,2006,"8,770","23,632","22,765",160,"55,327","8,032",28,"8,060","63,387"
CID,2007,"8,180","24,444","21,277",474,"54,375","8,988",58,"9,046","63,421"
CID,2008,"7,549","23,752","19,976",264,"51,541","9,582",14,"9,596","61,137"
CID,2009,"5,317","25,909","18,460",415,"50,101","7,187",138,"7,325","57,426"
CID,2010,"5,677","21,112","17,731",252,"44,772","5,708",10,"5,718","50,490"
CID,2011,"4,634","21,927","18,022",208,"44,791","7,563",30,"7,593","52,384"
CID,2012,"5,574","21,947","18,251",400,"46,172","9,956",172,"10,128","56,300"
CID,2013,"5,580","20,820","16,165",219,"42,784","7,222",44,"7,266","50,050"
CID,2014,"7,539","18,713","15,836",232,"42,320","7,802",30,"7,832","50,152"
CID,2015,"11,720","13,541","16,088",309,"41,658","7,747",22,"7,769","49,427"
Sub-Total for CID,,"87,589","268,605","232,811","3,363","592,368","96,293",636,"96,929","689,297"
CKB,2004,141,"3,510","18,189","5,026","26,866","18,682","9,207","27,889","54,755"
CKB,2005,168,"3,936","18,039","5,405","27,548","21,358","10,446","31,804","59,352"
CKB,2006,127,"2,967","17,761","5,860","26,715","22,341","10,197","32,538","59,253"
CKB,2007,62,"2,947","15,365","8,388","26,762","19,676","16,893","36,569","63,331"
CKB,2008,235,"3,002","11,530","6,802","21,569","13,910","15,885","29,795","51,364"
CKB,2009,96,"2,506","10,414","5,307","18,323","13,199","14,183","27,382","45,705"
CKB,2010,89,"2,411","8,048","4,064","14,612","9,113","13,232","22,345","36,957"
CKB,2011,83,"2,511","7,061","3,668","13,323","6,314","11,466","17,780","31,103"
CKB,2012,215,"2,342","6,858","3,672","13,087","7,942","11,370","19,312","32,399"
CKB,2013,287,"2,119","6,485","3,818","12,709","9,239","11,219","20,458","33,167"
CKB,2014,536,"2,143","6,307","3,689","12,675","5,080","7,781","12,861","25,536"
CKB,2015,610,"2,446","6,070","3,192","12,318","4,561","4,600","9,161","21,479"
Sub-Total for CKB,,"2,649","32,840","132,127","58,891","226,507","151,415","136,479","287,894","514,401"
CLE,2004,"80,526","168,602","14,500",417,"264,045",183,5,188,"264,233"
CLE,2005,"80,978","165,251","13,093",349,"259,671",88,3,91,"259,762"
CLE,2006,"73,733","162,542","12,462",729,"249,466",0,0,0,"249,466"
CLE,2007,"72,118","159,927","12,303",822,"245,170",0,0,0,"245,170"
CLE,2008,"67,842","156,629","11,169",329,"235,969",0,0,0,"235,969"
CLE,2009,"59,230","132,879","7,857",306,"200,272",0,0,0,"200,272"
CLE,2010,"54,564","130,350","8,728",363,"194,005",0,0,0,"194,005"
CLE,2011,"58,514","120,868","8,649",265,"188,296",0,0,0,"188,296"
CLE,2012,"54,191","117,989","8,563",219,"180,962",0,0,0,"180,962"
CLE,2013,"57,764","114,719","8,638",219,"181,340",0,0,0,"181,340"
CLE,2014,"61,822","59,905","8,814",221,"130,762",0,0,0,"130,762"
CLE,2015,"75,009","33,299","9,261",204,"117,773",0,0,0,"117,773"
Sub-Total for CLE,,"796,291","1,522,960","124,037","4,443","2,447,731",271,8,279,"2,448,010"
CLL,2004,57,"6,758","24,267","9,349","40,431","12,483","7,437","19,920","60,351"
CLL,2005,66,"7,435","26,026","10,815","44,342","12,518","8,226","20,744","65,086"
CLL,2006,78,"6,838","23,541","8,491","38,948","10,492","6,232","16,724","55,672"
CLL,2007,58,"7,307","22,189","7,165","36,719","9,618","4,182","13,800","50,519"
CLL,2008,312,"6,709","22,728","7,295","37,044","10,920","4,599","15,519","52,563"
CLL,2009,38,"6,313","21,169","6,592","34,112","9,760","3,363","13,123","47,235"
CLL,2010,509,"5,921","22,805","7,171","36,406","12,660","3,058","15,718","52,124"
CLL,2011,"1,176","5,552","22,224","8,077","37,029","10,536","2,764","13,300","50,329"
CLL,2012,236,"5,680","22,802","8,454","37,172","10,657","3,042","13,699","50,871"
CLL,2013,128,"6,934","22,173","8,180","37,415","9,949","3,093","13,042","50,457"
CLL,2014,126,"7,338","20,606","9,576","37,646","11,780","5,186","16,966","54,612"
CLL,2015,125,"5,848","19,661","9,373","35,007","9,740","4,551","14,291","49,298"
Sub-Total for CLL,,"2,909","78,633","270,191","100,538","452,271","131,113","55,733","186,846","639,117"
CLT,2004,"213,800","213,983","37,982","1,877","467,642",31,3,34,"467,676"
CLT,2005,"258,693","226,751","36,102","1,689","523,235",35,0,35,"523,270"
CLT,2006,"259,276","215,763","33,823","2,056","510,918",0,0,0,"510,918"
CLT,2007,"289,850","199,529","34,812","1,752","525,943",0,0,0,"525,943"
CLT,2008,"315,130","189,595","31,059","1,814","537,598",0,0,0,"537,598"
CLT,2009,"319,275","164,839","23,483","1,867","509,464",0,0,0,"509,464"
CLT,2010,"331,116","171,836","24,414","1,741","529,107",0,0,0,"529,107"
CLT,2011,"329,680","184,122","24,131","1,909","539,842",0,0,0,"539,842"
CLT,2012,"343,132","183,897","23,777","1,709","552,515",0,0,0,"552,515"
CLT,2013,"356,086","175,051","25,426","1,392","557,955",0,0,0,"557,955"
CLT,2014,"361,354","156,221","26,323","1,396","545,294",0,0,0,"545,294"
CLT,2015,"363,667","152,215","25,639","2,423","543,944",0,0,0,"543,944"
Sub-Total for CLT,,"3,741,059","2,233,802","346,971","21,625","6,343,457",66,3,69,"6,343,526"
CMA,2004,0,"2,367","91,503",176,"94,046","68,827",16,"68,843","162,889"
CMA,2005,3,"2,543","86,865",134,"89,545","63,936",20,"63,956","153,501"
CMA,2006,0,"2,996","81,266",147,"84,409","64,902",514,"65,416","149,825"
CMA,2007,0,"3,465","77,533",112,"81,110","66,788",620,"67,408","148,518"
CMA,2008,7,"3,909","78,227",184,"82,327","75,590",328,"75,918","158,245"
CMA,2009,0,"3,924","75,642",47,"79,613","82,552",5,"82,557","162,170"
CMA,2010,2,"3,782","67,547",40,"71,371","75,448",44,"75,492","146,863"
CMA,2011,0,"3,927","67,712",71,"71,710","61,619",74,"61,693","133,403"
CMA,2012,0,"3,286","65,965",114,"69,365","63,205",109,"63,314","132,679"
CMA,2013,0,"2,325","67,154",257,"69,736","66,650",124,"66,774","136,510"
CMA,2014,0,"2,969","74,330",285,"77,584","66,776",277,"67,053","144,637"
CMA,2015,5,"3,145","74,875",371,"78,396","68,342",282,"68,624","147,020"
Sub-Total for CMA,,17,"38,638","908,619","1,938","949,212","824,635","2,413","827,048","1,776,260"
CMH,2004,"45,951","119,008","59,665","1,318","225,942","4,123",30,"4,153","230,095"
CMH,2005,"49,935","97,425","56,164",975,"204,499","5,957",24,"5,981","210,480"
CMH,2006,"50,453","82,615","55,565","1,763","190,396","6,276",535,"6,811","197,207"
CMH,2007,"52,299","70,773","38,091","1,533","162,696","5,947",223,"6,170","168,866"
CMH,2008,"58,294","62,098","32,719","1,916","155,027","2,010",28,"2,038","157,065"
CMH,2009,"54,217","58,987","30,676","2,559","146,439",0,0,0,"146,439"
CMH,2010,"50,053","59,517","25,585",931,"136,086",0,0,0,"136,086"
CMH,2011,"56,168","54,764","24,096",349,"135,377",0,0,0,"135,377"
CMH,2012,"57,700","47,917","23,287",546,"129,450",0,0,0,"129,450"
CMH,2013,"58,420","46,351","21,869",562,"127,202",985,0,985,"128,187"
CMH,2014,"59,989","42,880","20,630",609,"124,108",11,0,11,"124,119"
CMH,2015,"66,620","37,969","20,561",577,"125,727",0,0,0,"125,727"
Sub-Total for CMH,,"660,099","780,304","408,908","13,638","1,862,949","25,309",840,"26,149","1,889,098"
CMI,2004,105,"12,186","40,638",152,"53,081","72,504",51,"72,555","125,636"
CMI,2005,90,"12,739","37,254",157,"50,240","72,776",325,"73,101","123,341"
CMI,2006,98,"10,543","35,240",176,"46,057","68,315",265,"68,580","114,637"
CMI,2007,158,"9,473","31,931",231,"41,793","67,381",174,"67,555","109,348"
CMI,2008,84,"9,315","28,342",215,"37,956","59,501",143,"59,644","97,600"
CMI,2009,53,"27,010","8,211",270,"35,544","49,658",115,"49,773","85,317"
CMI,2010,61,"23,889","8,363",403,"32,716","43,936",118,"44,054","76,770"
CMI,2011,82,"19,394","8,327",424,"28,227","39,249",96,"39,345","67,572"
CMI,2012,103,"15,801","10,420",388,"26,712","29,206",55,"29,261","55,973"
CMI,2013,92,"13,620","10,720",310,"24,742","29,868",43,"29,911","54,653"
CMI,2014,99,"11,289","9,015",373,"20,776","22,534",64,"22,598","43,374"
CMI,2015,109,"9,515","9,696",399,"19,719","19,798",52,"19,850","39,569"
Sub-Total for CMI,,"1,134","174,774","238,157","3,498","417,563","574,726","1,501","576,227","993,790"
CNO,2004,0,335,"74,156",106,"74,597","87,584",21,"87,605","162,202"
CNO,2005,0,176,"68,979",55,"69,210","113,125",22,"113,147","182,357"
CNO,2006,0,210,"66,647",154,"67,011","101,159",252,"101,411","168,422"
CNO,2007,3,244,"68,902",148,"69,297","97,778",423,"98,201","167,498"
CNO,2008,0,281,"61,437",167,"61,885","70,058",448,"70,506","132,391"
CNO,2009,0,332,"61,109",200,"61,641","101,767",873,"102,640","164,281"
CNO,2010,0,292,"63,821",168,"64,281","115,081",325,"115,406","179,687"
CNO,2011,29,255,"60,061",108,"60,453","106,344",236,"106,580","167,033"
CNO,2012,17,425,"58,891",324,"59,657","106,965",471,"107,436","167,093"
CNO,2013,39,457,"62,797",409,"63,702","104,919","1,082","106,001","169,703"
CNO,2014,54,366,"67,468",521,"68,409","109,819","1,583","111,402","179,811"
CNO,2015,40,320,"68,231",476,"69,067","100,488","1,376","101,864","170,931"
Sub-Total for CNO,,182,"3,693","782,499","2,836","789,210","1,215,087","7,112","1,222,199","2,011,409"
CNW,2004,133,884,"15,304","4,991","21,312","28,749","12,737","41,486","62,798"
CNW,2005,131,885,"14,947","4,596","20,559","30,470","13,124","43,594","64,153"
CNW,2006,101,367,"15,234","3,134","18,836","22,347","8,090","30,437","49,273"
CNW,2007,24,521,"11,308","3,385","15,238","16,931","9,001","25,932","41,170"
CNW,2008,11,311,"9,499","3,312","13,133","13,254","6,844","20,098","33,231"
CNW,2009,25,145,"9,615","4,300","14,085","12,540","8,559","21,099","35,184"
CNW,2010,3,130,"10,445","4,135","14,713","12,128","8,782","20,910","35,623"
CNW,2011,4,60,"10,289","3,954","14,307","11,259","7,894","19,153","33,460"
CNW,2012,2,33,"12,855","3,741","16,631","16,630","7,625","24,255","40,886"
CNW,2013,4,60,"13,409","3,278","16,751","22,503","10,707","33,210","49,961"
CNW,2014,1,47,"15,300","2,751","18,099","31,449","7,806","39,255","57,354"
CNW,2015,32,46,"17,497","2,991","20,566","60,282","8,548","68,830","89,396"
Sub-Total for CNW,,471,"3,489","155,702","44,568","204,230","278,542","109,717","388,259","592,489"
COS,2004,"18,479","30,681","46,431","18,139","113,730","45,797","15,775","61,572","175,302"
COS,2005,"20,656","27,509","46,509","17,430","112,104","42,185","12,217","54,402","166,506"
COS,2006,"20,270","23,622","43,023","14,944","101,859","32,021","7,778","39,799","141,658"
COS,2007,"20,465","21,581","39,615","13,727","95,388","49,084","11,869","60,953","156,341"
COS,2008,"22,882","20,399","35,370","16,604","95,255","38,093","12,505","50,598","145,853"
COS,2009,"20,077","18,349","34,739","19,100","92,265","33,672","19,359","53,031","145,296"
COS,2010,"19,116","17,833","31,431","17,541","85,921","27,693","26,433","54,126","140,047"
COS,2011,"18,831","16,076","28,408","13,824","77,139","27,332","22,283","49,615","126,754"
COS,2012,"17,952","15,013","27,476","15,116","75,557","30,742","27,771","58,513","134,070"
COS,2013,"14,521","13,712","26,431","13,138","67,802","33,900","25,954","59,854","127,656"
COS,2014,"13,535","13,830","26,326","14,458","68,149","31,204","31,040","62,244","130,393"
COS,2015,"13,921","9,870","26,854","14,109","64,754","29,622","30,927","60,549","125,303"
Sub-Total for COS,,"220,705","228,475","412,613","188,130","1,049,923","421,345","243,911","665,256","1,715,179"
COU,2004,177,"3,675","19,733",642,"24,227","7,962",759,"8,721","32,948"
COU,2005,137,"3,183","19,259",682,"23,261","7,773","1,205","8,978","32,239"
COU,2006,137,"2,805","19,956",603,"23,501","8,019",972,"8,991","32,492"
COU,2007,203,"2,872","17,492",655,"21,222","6,485",649,"7,134","28,356"
COU,2008,152,"2,349","14,827",469,"17,797","5,995",533,"6,528","24,325"
COU,2009,70,"2,657","13,372",619,"16,718","6,778","1,445","8,223","24,941"
COU,2010,87,"2,735","13,665",684,"17,171","6,700","1,779","8,479","25,650"
COU,2011,62,"3,146","13,175",675,"17,058","6,006",607,"6,613","23,671"
COU,2012,99,"3,135","13,351",683,"17,268","6,834",644,"7,478","24,746"
COU,2013,177,"2,594","11,672",462,"14,905","5,887",452,"6,339","21,244"
COU,2014,72,"3,374","10,756",581,"14,783","5,149",996,"6,145","20,928"
COU,2015,"1,216","2,007","10,482",619,"14,324","5,237","1,216","6,453","20,777"
Sub-Total for COU,,"2,589","34,532","177,740","7,374","222,235","78,825","11,257","90,082","312,317"
CPR,2004,768,"14,872","14,451",341,"30,432","6,875",230,"7,105","37,537"
CPR,2005,936,"15,938","14,296",349,"31,519","10,366",247,"10,613","42,132"
CPR,2006,876,"15,229","14,785",430,"31,320","10,615",191,"10,806","42,126"
CPR,2007,852,"14,876","14,326",356,"30,410","8,872",148,"9,020","39,430"
CPR,2008,986,"13,179","13,946",371,"28,482","10,360",249,"10,609","39,091"
CPR,2009,"1,172","11,187","14,390",369,"27,118","9,587",394,"9,981","37,099"
CPR,2010,"1,173","10,596","14,027",402,"26,198","8,606",246,"8,852","35,050"
CPR,2011,"1,118","10,628","14,641",495,"26,882","11,212",180,"11,392","38,274"
CPR,2012,"1,105","11,044","17,052",463,"29,664","10,657",153,"10,810","40,474"
CPR,2013,"1,176","11,592","16,212",367,"29,347","12,989",218,"13,207","42,554"
CPR,2014,"1,109","11,052","15,573",326,"28,060","7,060",230,"7,290","35,350"
CPR,2015,"1,143","10,996","15,304",375,"27,818","7,748",138,"7,886","35,704"
Sub-Total for CPR,,"12,414","151,189","179,003","4,644","347,250","114,947","2,624","117,571","464,821"
CPS,2004,0,"9,067","59,650",348,"69,065","100,911",36,"100,947","170,012"
CPS,2005,34,"10,038","57,001",292,"67,365","92,840",34,"92,874","160,239"
CPS,2006,0,"9,048","61,481",248,"70,777","84,735",33,"84,768","155,545"
CPS,2007,0,"11,112","44,935",313,"56,360","50,528",36,"50,564","106,924"
CPS,2008,1,"17,104","37,940",431,"55,476","56,926",35,"56,961","112,437"
CPS,2009,0,"17,677","40,172",233,"58,082","59,682",31,"59,713","117,795"
CPS,2010,1,"17,146","43,819",235,"61,201","50,373",46,"50,419","111,620"
CPS,2011,23,"13,201","43,523",674,"57,421","27,720",101,"27,821","85,242"
CPS,2012,36,"10,508","40,498",614,"51,656","28,345",87,"28,432","80,088"
CPS,2013,61,"20,648","38,291",689,"59,689","41,442",19,"41,461","101,150"
CPS,2014,100,"13,632","31,017",583,"45,332","48,331",51,"48,382","93,714"
CPS,2015,91,"10,757","28,807",706,"40,361","53,170",129,"53,299","93,660"
Sub-Total for CPS,,347,"159,938","527,134","5,366","692,785","695,003",638,"695,641","1,388,426"
CRE,2004,0,"1,003","38,503",917,"40,423","17,560",104,"17,664","58,087"
CRE,2005,0,"1,060","31,347",950,"33,357","20,446",134,"20,580","53,937"
CRE,2006,0,"1,302","37,730","1,325","40,357","16,007",152,"16,159","56,516"
CRE,2007,2,"1,098","37,333",939,"39,372","14,439",308,"14,747","54,119"
CRE,2008,4,"3,578","27,797","1,050","32,429","13,861",104,"13,965","46,394"
CRE,2009,0,"1,740","25,098",931,"27,769","16,573",199,"16,772","44,541"
CRE,2010,0,"3,577","26,343","1,317","31,237","17,297",68,"17,365","48,602"
CRE,2011,0,"6,678","25,554","1,295","33,527","15,780",274,"16,054","49,581"
CRE,2012,4,"8,092","24,427","1,182","33,705","16,852",188,"17,040","50,745"
CRE,2013,4,"11,314","19,596",985,"31,899","9,646",254,"9,900","41,799"
CRE,2014,0,"11,161","19,462","1,090","31,713","11,142",106,"11,248","42,961"
CRE,2015,115,"8,099","17,890","1,057","27,161","9,696",116,"9,812","36,973"
Sub-Total for CRE,,129,"58,702","331,080","13,038","402,949","179,299","2,007","181,306","584,255"
CRG,2004,0,"6,618","86,144","11,999","104,761","68,913",440,"69,353","174,114"
CRG,2005,0,"8,354","77,265","12,448","98,067","63,653",268,"63,921","161,988"
CRG,2006,0,"7,481","75,940","12,367","95,788","66,942",236,"67,178","162,966"
CRG,2007,18,"6,146","78,135","13,233","97,532","66,724",238,"66,962","164,494"
CRG,2008,38,"4,313","69,715","9,968","84,034","49,308",104,"49,412","133,446"
CRG,2009,0,"2,160","57,030","11,394","70,584","36,415",257,"36,672","107,256"
CRG,2010,10,"2,540","59,797","9,412","71,759","38,279",160,"38,439","110,198"
CRG,2011,0,"2,364","57,211","8,782","68,357","46,497",118,"46,615","114,972"
CRG,2012,0,"2,358","51,639","7,886","61,883","41,267",261,"41,528","103,411"
CRG,2013,0,"1,106","51,179","9,050","61,335","38,502",166,"38,668","100,003"
CRG,2014,0,"1,186","50,576","8,768","60,530","48,111",139,"48,250","108,780"
CRG,2015,2,"1,236","52,477","9,767","63,482","64,535",408,"64,943","128,425"
Sub-Total for CRG,,68,"45,862","767,108","125,074","938,112","629,146","2,795","631,941","1,570,053"
CRP,2004,"4,501","16,694","25,164","10,620","56,979","6,068","58,685","64,753","121,732"
CRP,2005,"4,193","18,479","24,905","9,976","57,553","3,990","47,323","51,313","108,866"
CRP,2006,"4,135","18,085","21,735","10,779","54,734","3,170","50,970","54,140","108,874"
CRP,2007,"4,143","18,377","19,760","15,196","57,476","2,160","40,343","42,503","99,979"
CRP,2008,"4,045","17,229","20,200","28,667","70,141",794,"28,711","29,505","99,646"
CRP,2009,"4,787","16,921","19,354","24,081","65,143","1,560","30,772","32,332","97,475"
CRP,2010,"3,461","17,238","18,637","25,129","64,465","4,067","32,944","37,011","101,476"
CRP,2011,"3,337","16,820","17,894","29,094","67,145","2,382","30,983","33,365","100,510"
CRP,2012,"3,406","16,292","16,717","25,779","62,194","3,278","20,600","23,878","86,072"
CRP,2013,"4,224","15,105","15,933","18,210","53,472","2,384","16,098","18,482","71,954"
CRP,2014,"4,487","13,416","16,547","20,272","54,722","2,004","19,537","21,541","76,263"
CRP,2015,"5,574","10,761","14,907","17,849","49,091","1,452","15,456","16,908","65,999"
Sub-Total for CRP,,"50,293","195,417","231,753","235,652","713,115","33,309","392,422","425,731","1,138,846"
CRQ,2004,2,"14,451","124,242","1,476","140,171","67,663",59,"67,722","207,893"
CRQ,2005,0,"14,659","120,128","1,414","136,201","72,396",171,"72,567","208,768"
CRQ,2006,37,"18,186","125,723","1,268","145,214","53,073",303,"53,376","198,590"
CRQ,2007,0,"17,529","132,111","1,184","150,824","60,720",479,"61,199","212,023"
CRQ,2008,0,"12,612","113,781",900,"127,293","62,684",478,"63,162","190,455"
CRQ,2009,9,"9,420","99,089",561,"109,079","59,918",277,"60,195","169,274"
CRQ,2010,0,"7,657","82,602",537,"90,796","40,216",185,"40,401","131,197"
CRQ,2011,33,"9,257","89,298",564,"99,152","44,293",225,"44,518","143,670"
CRQ,2012,4,"9,129","81,931",754,"91,818","51,021",209,"51,230","143,048"
CRQ,2013,2,"10,096","84,546",990,"95,634","59,255",397,"59,652","155,286"
CRQ,2014,2,"10,011","75,668",956,"86,637","51,071",263,"51,334","137,971"
CRQ,2015,6,"9,814","75,959",916,"86,695","44,494",225,"44,719","131,414"
Sub-Total for CRQ,,95,"142,821","1,205,078","11,520","1,359,514","666,804","3,271","670,075","2,029,589"
CRW,2004,48,"41,613","24,690","3,449","69,800","12,086","2,436","14,522","84,322"
CRW,2005,173,"42,549","21,149","3,288","67,159","9,178","2,126","11,304","78,463"
CRW,2006,256,"42,412","21,762","3,672","68,102","9,171","2,972","12,143","80,245"
CRW,2007,44,"36,255","22,163","3,558","62,020","10,561","2,904","13,465","75,485"
CRW,2008,114,"31,476","22,400","3,835","57,825","8,823","4,093","12,916","70,741"
CRW,2009,207,"27,156","18,274","3,987","49,624","6,146","3,800","9,946","59,570"
CRW,2010,315,"26,463","17,844","3,307","47,929","7,035","2,952","9,987","57,916"
CRW,2011,"1,121","22,933","16,632","3,585","44,271","9,325","2,895","12,220","56,491"
CRW,2012,"1,058","20,187","14,503","3,460","39,208","5,866","2,702","8,568","47,776"
CRW,2013,"1,312","18,822","13,666","3,597","37,397","8,086","3,178","11,264","48,661"
CRW,2014,"1,667","18,008","13,750","3,902","37,327","8,146","2,447","10,593","47,920"
CRW,2015,"1,767","17,785","13,517","3,384","36,453","7,723","3,151","10,874","47,327"
Sub-Total for CRW,,"8,082","345,659","220,350","43,024","617,115","102,146","35,656","137,802","754,917"
CSG,2004,"3,233",547,"24,861",718,"29,359","15,976",418,"16,394","45,753"
CSG,2005,"2,318",773,"25,018",490,"28,599","19,027",303,"19,330","47,929"
CSG,2006,"2,033",686,"25,411",512,"28,642","19,979",396,"20,375","49,017"
CSG,2007,"2,446",546,"25,339",256,"28,587","17,309",245,"17,554","46,141"
CSG,2008,"2,546",593,"19,732",359,"23,230","11,713",490,"12,203","35,433"
CSG,2009,504,"2,325","18,730",619,"22,178","11,703",606,"12,309","34,487"
CSG,2010,94,"2,897","19,819",564,"23,374","12,673",324,"12,997","36,371"
CSG,2011,258,"3,481","15,175",446,"19,360","10,070",118,"10,188","29,548"
CSG,2012,304,"3,667","12,247",527,"16,745","8,838",329,"9,167","25,912"
CSG,2013,668,"3,274","12,290",338,"16,570","9,272",338,"9,610","26,180"
CSG,2014,224,"2,857","12,393",191,"15,665","8,482",208,"8,690","24,355"
CSG,2015,297,"2,658","9,929",222,"13,106","5,162",88,"5,250","18,356"
Sub-Total for CSG,,"14,925","24,304","220,944","5,242","265,415","150,204","3,863","154,067","419,482"
CVG,2004,"177,532","329,193","8,975",151,"515,851",0,0,0,"515,851"
CVG,2005,"165,397","322,431","7,436",184,"495,448",3,1,4,"495,452"
CVG,2006,"93,312","245,584","6,663",199,"345,758",0,0,0,"345,758"
CVG,2007,"90,151","231,313","6,632",165,"328,261",0,0,0,"328,261"
CVG,2008,"78,604","201,174","6,081",209,"286,068",0,0,0,"286,068"
CVG,2009,"68,876","149,478","4,276",161,"222,791",0,0,0,"222,791"
CVG,2010,"67,527","105,207","4,751",125,"177,610",0,0,0,"177,610"
CVG,2011,"71,426","85,941","4,906",149,"162,422",0,0,0,"162,422"
CVG,2012,"63,601","74,918","4,838",221,"143,578",0,0,0,"143,578"
CVG,2013,"60,921","71,818","4,812",190,"137,741",0,0,0,"137,741"
CVG,2014,"62,501","65,628","5,396",94,"133,619",0,0,0,"133,619"
CVG,2015,"76,868","50,098","6,120",139,"133,225",0,0,0,"133,225"
Sub-Total for CVG,,"1,076,716","1,932,783","70,886","1,987","3,082,372",3,1,4,"3,082,376"
CWA,2004,81,"17,260","7,471",282,"25,094","4,094",500,"4,594","29,688"
CWA,2005,69,"14,858","7,313",417,"22,657","3,797",928,"4,725","27,382"
CWA,2006,95,"13,076","6,840",665,"20,676","4,124","1,461","5,585","26,261"
CWA,2007,271,"11,311","6,592",421,"18,595","4,512",818,"5,330","23,925"
CWA,2008,114,"11,983","5,796",262,"18,155","2,859",518,"3,377","21,532"
CWA,2009,128,"11,956","4,268",269,"16,621","1,824",378,"2,202","18,823"
CWA,2010,124,"12,215","4,386",226,"16,951","1,712",491,"2,203","19,154"
CWA,2011,164,"9,767","3,785",186,"13,902","1,423",48,"1,471","15,373"
CWA,2012,130,"8,943","4,207",110,"13,390","1,719",127,"1,846","15,236"
CWA,2013,119,"8,680","3,681",64,"12,544","1,632",64,"1,696","14,240"
CWA,2014,149,"8,131","3,514",26,"11,820","1,418",28,"1,446","13,266"
CWA,2015,122,"8,224","2,991",52,"11,389","1,152",99,"1,251","12,640"
Sub-Total for CWA,,"1,566","136,404","60,844","2,980","201,794","30,266","5,460","35,726","237,520"
CWF,2004,756,"2,753","34,030","17,567","55,106","2,474","15,539","18,013","73,119"
CWF,2005,590,"2,285","31,526","10,545","44,946","1,613","11,409","13,022","57,968"
CWF,2006,387,"1,376","18,300","12,274","32,337","1,871","8,265","10,136","42,473"
CWF,2007,310,"1,589","11,700","12,745","26,344","1,365","7,551","8,916","35,260"
CWF,2008,302,"1,559","4,156","11,124","17,141","2,541","7,634","10,175","27,316"
CWF,2009,269,605,"5,264","11,545","17,683","2,871","9,380","12,251","29,934"
