,FAA Region,ST,Locid,City,Airport Name,Hub,04-14 perc. enplanements,Total Enplanements
752,GL,IN,MIE,Muncie,Delaware County Regional,None,0%,"4,793"
753,NM,WY,WY14,Hulett,Ipy Ranch,None,0%,0
754,AL,AK,PEV,Perryville,Perryville,None,0%,"7,148"
755,SW,NM,CVS,Clovis,Cannon AFB,None,0%,"7,221"
756,GL,IN,HUF,Terre Haute,Terre Haute International-Hulman Field,None,0%,"6,951"
757,SO,AL,MXF,Montgomery,Maxwell AFB,None,0%,901
758,GL,WI,C29,Middleton,Middleton Municipal - Morey Field,None,0%,"2,227"
759,AL,AK,SVS,Stevens Village,Stevens Village,None,0%,"7,329"
760,SO,FL,LAL,Lakeland,Lakeland Linder Regional,None,0%,"37,473"
761,GL,WI,AIG,Antigo,Langlade County,None,0%,7
762,GL,IL,MDH,Carbondale,Southern Illinois,None,0%,878
763,CE,KS,IAB,Wichita,McConnell AFB,None,0%,"1,374"
764,AL,AK,SLQ,Sleetmute,Sleetmute,None,0%,"5,641"
765,SW,LA,NEW,New Orleans,Lakefront,None,0%,"3,592"
766,AL,AK,9A3,Chuathbaluk,Chuathbaluk,None,0%,"6,170"
767,AL,AK,CRC,Circle,Circle City,None,0%,"4,124"
768,AL,AK,Z78,Chignik,Chignik Bay,None,0%,"3,573"
769,AL,AK,Z91,Birch Creek,Birch Creek,None,0%,"4,421"
770,SW,OK,PWA,Oklahoma City,Wiley Post,None,0%,"1,914"
771,CE,MO,SZL,Knob Noster,Whiteman AFB,None,0%,"5,397"
772,AL,AK,A79,Chignik Lake,Chignik Lake,None,0%,758
773,NM,CO,APA,Englewood,Centennial,None,0%,"11,670"
774,SW,LA,65LA,Belle Chasse,Southern Seaplane,None,0%,900
775,SW,NM,LRU,Las Cruces,Las Cruces International,None,0%,"4,168"
776,AL,AK,KYK,Karluk,Karluk,None,0%,"5,126"
777,CE,MO,POF,Poplar Bluff,Poplar Bluff Municipal,None,0%,351
778,CE,KS,PTS,Pittsburg,Atkinson Municipal,None,0%,646
779,GL,WI,UES,Waukesha,Waukesha County,None,0%,"3,319"
780,NM,ID,65S,Bonners Ferry,Boundary County,None,0%,"1,115"
781,NM,WA,WA83,West Sound,Westsound/Wsx,None,0%,"9,915"
782,SO,SC,GYH,Greenville,Donaldson Field,None,0%,756
783,SW,TX,FTW,Fort Worth,Fort Worth Meacham International,None,0%,"13,717"
784,GL,OH,CGF,Cleveland,Cuyahoga County,None,0%,"2,221"
785,AL,AK,FSP,Nikolai,Nikolai,None,0%,"5,378"
786,WP,AZ,P20,Parker,Avi Suquilla,None,0%,111
787,SW,TX,DWH,Houston,David Wayne Hooks Memorial,None,0%,779
788,AL,AK,1AK3,Cold Bay,Port Moller,None,0%,"4,554"
789,NM,WA,SKA,Spokane,Fairchild AFB,None,0%,"1,139"
790,SO,FL,OPF,Miami,Opa-Locka Executive,None,0%,"7,283"
791,SO,TN,RZR,Cleveland,Cleveland Regional Jetport,None,0%,161
792,SW,TX,HYI,San Marcos,San Marcos Regional,None,0%,126
793,AL,AK,AJC,Chignik,Chignik,None,0%,"8,851"
794,AL,AK,FKK,Farewell Lake,Farewell Lake,None,0%,0
795,WP,CA,APC,Napa,Napa County,None,0%,"5,243"
796,CE,KS,CNU,Chanute,Chanute Martin Johnson,None,0%,"1,867"
797,GL,MI,MTC,Mount Clemens,Selfridge Angb,None,0%,"4,451"
798,GL,WI,JVL,Janesville,Southern Wisconsin Regional,None,0%,"1,730"
799,AL,AK,IKO,Nikolski,Nikolski AS,None,0%,"2,032"
800,WP,CA,EDW,Edwards,Edwards AFB,None,0%,264
801,CE,IA,IKV,Ankeny,Ankeny Regional,None,0%,"7,715"
802,AL,AK,TCT,Takotna,Takotna,None,0%,"3,419"
803,GL,WI,OSH,Oshkosh,Wittman Regional,None,0%,"1,485"
804,WP,AZ,IGM,Kingman,Kingman,None,0%,"15,440"
805,SO,SC,ARW,Beaufort,Beaufort County,None,0%,"5,216"
806,SO,FL,BCT,Boca Raton,Boca Raton,None,0%,"6,512"
807,CE,KS,IXD,Olathe,New Century Aircenter,None,0%,"1,212"
808,GL,MI,MCD,Mackinac Island,Mackinac Island,None,0%,"2,204"
809,AL,AK,MHM,Lake Minchumina,Minchumina,None,0%,"1,864"
810,GL,IL,DPA,DuPage (County),Dupage,None,0%,"4,126"
811,SO,NC,GSB,Goldsboro,Seymour Johnson AFB,None,0%,"7,271"
812,CE,KS,GBD,Great Bend,Great Bend Municipal,None,0%,"9,617"
813,NM,WA,RNT,Renton,Renton Municipal,None,0%,551
814,CE,MO,SUS,Chesterfield,Spirit of St. Louis,None,0%,"31,279"
815,EA,PA,LOM,Ambler,Wings Field,None,0%,"2,397"
816,NE,CT,BDR,Bridgeport,Igor I Sikorsky Memorial,None,0%,"4,329"
817,AL,AK,KEK,Ekwok,Ekwok,None,0%,"2,939"
818,SO,FL,FXE,Fort Lauderdale,Fort Lauderdale Executive,None,0%,"9,926"
819,EA,NY,FOK,Westhampton Beach,Francis S Gabreski,None,0%,"2,876"
820,EA,NY,PEO,Penn Yan,Penn Yan,None,0%,"1,686"
821,AL,AK,EXI,Excursion Inlet,Excursion Inlet,None,0%,"1,157"
822,EA,NY,HTO,East Hampton,East Hampton,None,0%,"4,591"
823,GL,IL,MTO,Mattoon,Coles County Memorial,None,0%,"1,108"
824,CE,KS,LWC,Lawrence,Lawrence Municipal,None,0%,631
825,AL,AK,WSN,South Naknek,South Naknek Nr 2,None,0%,"3,133"
826,AL,AK,LUR,Cape Lisburne,Cape Lisburne LRRS,None,0%,"1,549"
827,WP,CA,MCC,Sacramento,McClellan Airfield,None,0%,"1,084"
828,NE,CT,GON,Groton,Groton-New London,None,0%,"1,254"
829,AL,AK,51Z,Minto,Minto Al Wright,None,0%,"1,984"
830,AL,AK,Z55,Lake Louise,Lake Louise,None,0%,42
831,SO,FL,TMB,Miami,Miami Executive,None,0%,"1,507"
832,WP,AZ,FHU,Fort Huachuca,Sierra Vista Municipal-Libby AAF,None,0%,"6,098"
833,AL,AK,SYA,Shemya,Eareckson AS,None,0%,555
834,AL,AK,9A8,Ugashik,Ugashik,None,0%,130
835,AL,AK,96Z,North Whale Pass,North Whale,None,0%,"1,244"
836,GL,IN,BAK,Columbus,Columbus Municipal,None,0%,"2,901"
837,GL,ND,S28,Dunseith,International Peace Garden,None,0%,0
838,AL,AK,84K,Meyers Chuck,Meyers Chuck,None,0%,"1,577"
839,GL,OH,MFD,Mansfield,Mansfield Lahm Regional,None,0%,"2,244"
840,AL,AK,AK77,Delta Junction,All West,None,0%,0
841,SW,LA,L31,Covington,St Tammany Regional,None,0%,513
842,SW,TX,89TE,Lajitas,Lajitas International,None,0%,184
843,SW,TX,PSX,Palacios,Palacios Municipal,None,0%,195
844,AL,AK,4Z7,Hyder,Hyder,None,0%,"1,453"
845,EA,MD,NHK,Patuxent River Naval Air Test Center,Patuxent River NAS/Trapnell Field/,None,0%,"4,215"
846,WP,AZ,L37,Peach Springs,Grand Canyon Caverns,None,0%,"3,930"
847,WP,CA,SLI,Los Alamitos,Los Alamitos AAF,None,0%,459
848,NE,RI,UUU,Newport,Newport State,None,0%,580
849,NM,CO,ANK,Salida,Harriet Alexander Field,None,0%,27
850,EA,NY,0B8,Fishers Island,Elizabeth Field,None,0%,517
851,SO,SC,AND,Anderson,Anderson Regional,None,0%,"3,167"
852,AL,AK,ALZ,Lazy Bay,Alitak,None,0%,"1,197"
853,AL,AK,PAQ,Palmer,Palmer Municipal,None,0%,"1,062"
854,SO,FL,APF,Naples,Naples Municipal,None,0%,"89,200"
855,AL,AK,A63,Twin Hills,Twin Hills,None,0%,"3,366"
856,SO,GA,PDK,Atlanta,Dekalb-Peachtree,None,0%,"10,328"
857,AL,AK,KXA,Kasaan,Kasaan,None,0%,"1,114"
858,GL,MN,STP,St. Paul,St Paul Downtown Holman Field,None,0%,"5,708"
859,AL,AK,UTO,Utopia Creek,Indian Mountain LRRS,None,0%,"1,422"
860,WP,AZ,0V7,Kayenta,Kayenta,None,0%,"4,234"
861,NE,CT,OXC,Oxford,Waterbury-Oxford,None,0%,"3,457"
862,GL,MI,ANJ,Sault Ste. Marie,Sault Ste Marie Municipal/Sanderson Field,None,0%,565
863,NM,WA,PAE,Everett,Snohomish County (Paine Field),None,0%,"4,024"
864,AL,AK,TNC,Tin City,Tin City LRRS,None,0%,"1,495"
865,GL,ND,GAF,Grafton,Hutson Field,None,0%,0
866,AL,AK,MLY,Manley Hot Springs,Manley Hot Springs,None,0%,896
867,AL,AK,SKW,Skwentna,Skwentna,None,0%,"2,202"
868,WP,AZ,L41,Marble Canyon,Marble Canyon,None,0%,99
869,SO,FL,VRB,Vero Beach,Vero Beach Municipal,None,0%,"3,426"
870,NE,ME,BST,Belfast,Belfast Municipal,None,0%,189
871,EA,PA,05PS,Burnt Cabins,Mills Brothers,None,0%,0
872,SW,TX,LBX,Angleton,Texas Gulf Coast Regional,None,0%,"65,551"
873,WP,CA,SMO,Santa Monica,Santa Monica Municipal,None,0%,"10,605"
874,SO,FL,ORL,Orlando,Executive,None,0%,"3,848"
875,WP,NV,INS,Indian Springs,Creech AFB,None,0%,149
876,EA,VA,HEF,Manassas,Manassas Regional/Harry P Davis Field,None,0%,"4,128"
877,NM,WA,GRF,Fort Lewis/Tacoma,Gray AAF (Joint Base Lewis-McChord),None,0%,0
878,GL,IL,RSV,Robinson,Crawford Co,None,0%,16
879,AL,AK,CZN,Chisana,Chisana,None,0%,592
880,NM,OR,LMT,Klamath Falls,Crater Lake-Klamath Regional,None,0%,"231,394"
881,NM,MT,6S8,Laurel,Laurel Municipal,None,0%,216
882,SO,GA,SSI,Brunswick,McKinnon St Simons Island,None,0%,"1,976"
883,GL,WI,ENW,Kenosha,Kenosha Regional,None,0%,585
884,GL,IL,UGN,Waukegan,Waukegan Regional,None,0%,"2,806"
885,AL,AK,SRV,Stony River,Stony River 2,None,0%,"2,523"
886,NE,MA,CQX,Chatham,Chatham Municipal,None,0%,306
887,AL,AK,EHM,Cape Newenham,Cape Newenham LRRS,None,0%,"1,264"
888,GL,IL,MQB,Macomb,Macomb Municipal,None,0%,"2,479"
889,NE,MA,FMH,Falmouth,Cape Cod Coast Guard Air Station,None,0%,26
890,NM,WA,74S,Anacortes,Anacortes,None,0%,"12,115"
891,CE,MO,AIZ,Kaiser,Lee C Fine Memorial,None,0%,407
892,NM,MT,S59,Libby,Libby,None,0%,560
893,WP,CA,NLC,Lemoore,Lemoore NAS (Reeves Field),None,0%,853
894,AL,AK,KQA,Akutan,Akutan,None,0%,"13,253"
895,GL,IL,ALN,Alton,St Louis Regional,None,0%,338
896,SW,LA,HUM,Houma,Houma-Terrebonne,None,0%,"6,248"
897,AL,AK,5NK,Naknek,Naknek,None,0%,"1,272"
898,AL,AK,CZF,Cape Romanzof,Cape Romanzof LRRS,None,0%,"1,188"
899,SW,OK,HSD,Oklahoma City,Sundance,None,0%,342
900,GL,MN,FCM,Minneapolis,Flying Cloud,None,0%,"1,735"
901,GL,OH,FFO,Dayton,Wright-Patterson AFB,None,0%,"3,190"
902,AL,AK,AK71,Lonely,Lonely AS,None,0%,420
903,AL,AK,KWP,West Point,West Point Village,None,0%,411
904,SO,MS,HSA,Bay St. Louis,Stennis International,None,0%,375
905,GL,OH,HAO,Hamilton,Butler Co Regional-Hogan Field,None,0%,461
906,NE,ME,WVL,Waterville,Waterville Robert Lafleur,None,0%,200
907,GL,WI,SBM,Sheboygan,Sheboygan County Memorial,None,0%,"1,965"
908,WP,CA,L70,Agua Dulce,Agua Dulce,None,0%,14
909,GL,WI,AUW,Wausau,Wausau Downtown,None,0%,489
910,AL,AK,KCC,Coffman Cove,Coffman Cove,None,0%,"1,352"
911,GL,MN,ANE,Blaine,Anoka County-Blaine Airport (Janes Field),None,0%,528
912,NE,NH,CON,Concord,Concord Municipal,None,0%,"1,931"
913,SO,SC,JZI,Charleston,Charleston Executive,None,0%,"1,740"
914,SW,AR,ROG,Rogers,Rogers Executive - Carter Field,None,0%,"1,204"
915,GL,IN,MQJ,McCordsville,Indianapolis Regional,None,0%,425
916,SO,AL,JKA,Gulf Shores,Jack Edwards,None,0%,"1,163"
917,NE,CT,HFD,Hartford,Hartford-Brainard,None,0%,657
918,AL,AK,MOS,Elim,Moses Point,None,0%,409
919,SW,NM,HMN,Alamogordo,Holloman AFB,None,0%,"2,915"
920,NE,VT,MVL,Morrisville,Morrisville-Stowe State,None,0%,96
921,AL,AK,KKB,Kitoi Bay,Kitoi Bay,None,0%,302
922,WP,CA,CMA,Camarillo,Camarillo,None,0%,"1,256"
923,WP,CA,GOO,Grass Valley,Nevada County Air Park,None,0%,585
924,AL,AK,RDV,Red Devil,Red Devil,None,0%,"2,322"
925,SO,FL,NPA,Pensacola,Pensacola NAS/Forrest Sherman Field,None,0%,"1,440"
926,GL,MI,83D,St. Ignace,Mackinac County,None,0%,46
927,NE,ME,LEW,Auburn,Auburn/Lewiston Municipal,None,0%,932
928,SO,FL,XMR,Cocoa Beach,Cape Canaveral AFS Skid Strip,None,0%,42
929,SO,MS,HKS,Jackson,Hawkins Field,None,0%,847
930,EA,NJ,BLM,Belmar,Monmouth Executive,None,0%,"3,111"
931,WP,CA,SDM,San Diego,Brown Field Municipal,None,0%,"1,952"
932,NE,MA,BVY,Beverly,Beverly Municipal,None,0%,"1,008"
933,GL,OH,TDZ,Walbridge,Toledo Executive,None,0%,350
934,GL,WI,HYR,Hayward,Sawyer County,None,0%,386
935,GL,WI,RPD,Rice Lake,Rice Lake Regional - Carl's Field,None,0%,619
936,GL,IN,VPZ,Valparaiso,Porter County Regional,None,0%,332
937,GL,MI,LDM,Ludington,Mason County,None,0%,"1,620"
938,NM,UT,74V,Roosevelt,Roosevelt Municipal,None,0%,213
939,AL,AK,19P,Port Protection,Port Protection,None,0%,836
940,NM,CO,RIL,Rifle,Garfield County Regional,None,0%,"1,509"
941,NM,CO,TEX,Telluride,Telluride Regional,None,0%,"128,176"
942,GL,WI,EGV,Eagle River,Eagle River Union,None,0%,560
943,NM,ID,GIC,Grangeville,Idaho County,None,0%,5
944,NE,ME,ME86,Ashland,Libby Camps,None,0%,"1,405"
945,AL,AK,DCK,Dahl Creek,Dahl Creek,None,0%,"1,064"
946,AL,AK,GSZ,Granite Mountain,Granite Mountain AS,None,0%,278
947,SO,SC,GMU,Greenville,Greenville Downtown,None,0%,"1,917"
948,AL,AK,KPR,Port Williams,Port Williams,None,0%,163
949,AL,AK,TSG,Tanacross,Tanacross,None,0%,453
950,GL,IL,LOT,Romeo (RR name for Romeoville),Lewis University,None,0%,"1,776"
951,NE,MA,PSF,Pittsfield,Pittsfield Municipal,None,0%,586
952,AL,AK,UMT,Umiat,Umiat,None,0%,"3,174"
953,NE,MA,OWD,Norwood,Norwood Memorial,None,0%,944
954,NE,ME,BXM,Brunswick,Brunswick Executive,None,0%,255
955,NE,ME,IZG,Fryeburg,Eastern Slopes Regional,None,0%,297
956,AL,AK,SXQ,Soldotna,Soldotna,None,0%,"1,867"
957,SO,NC,SOP,Pinehurst/Southern Pines,Moore County,None,0%,"11,041"
958,SW,TX,NFW,Fort Worth,Fort Worth NAS Jrb (Carswell Field),None,0%,"4,915"
959,NM,MT,S34,Plains,Plains,None,0%,181
960,SW,TX,RCK,Rockdale,H H Coffield Regional,None,0%,0
961,EA,VA,PVG,Chesapeake,Hampton Roads Executive,None,0%,602
962,NM,WA,TIW,Tacoma,Tacoma Narrows,None,0%,"1,147"
963,NE,ME,MLT,Millinocket,Millinocket Municipal,None,0%,24
964,SW,TX,MRF,Marfa,Marfa Municipal,None,0%,194
965,NM,UT,UT39,North Salt Lake,A A Helicopters Inc,None,0%,10
966,EA,NY,5B2,Saratoga Springs,Saratoga County,None,0%,620
967,AL,AK,HRR,Healy,Healy River,None,0%,"2,698"
968,NM,CO,BJC,Broomfield,Rocky Mountain Metropolitan,None,0%,"4,158"
969,NE,NH,LCI,Laconia,Laconia Municipal,None,0%,"1,831"
970,AL,AK,SWD,Seward,Seward,None,0%,94
971,AL,AK,2AK,Lime Village,Lime Village,None,0%,377
972,AL,AK,2AK6,Hogatza,Hog River,None,0%,278
973,GL,WI,MWC,Milwaukee,Lawrence J Timmerman,None,0%,551
974,NE,ME,57B,Islesboro,Islesboro,None,0%,"1,134"
975,NE,VT,VSF,Springfield,Hartness State (Springfield),None,0%,43
976,SW,OK,OUN,Norman,University of Oklahoma Westheimer,None,0%,616
977,NM,OR,HIO,Portland,Portland-Hillsboro,None,0%,"1,273"
978,NM,OR,OR79,Harrisburg,Knox's Private Airstrip,None,0%,28
979,AL,AK,AK81,Amook Bay,Amook Bay,None,0%,182
980,NM,ID,ID65,Coeur d'Alene,Pisch's Place,None,0%,0
981,NE,MA,PYM,Plymouth,Plymouth Municipal,None,0%,"1,513"
982,SW,TX,SGR,Houston,Sugar Land Regional,None,0%,"3,582"
983,SO,AL,A08,Marion,Vaiden Field,None,0%,0
984,WP,AZ,AZ10,Mesa,JSJ,None,0%,29
985,SW,LA,DTN,Shreveport,Shreveport Downtown,None,0%,280
986,SO,NC,GEV,Jefferson,Ashe County,None,0%,797
987,NM,WA,44WA,White Salmon,Skyline Hospital EMS,None,0%,0
988,SW,LA,ASD,Slidell,Slidell,None,0%,68
989,EA,NY,MTP,Montauk,Montauk,None,0%,404
990,GL,OH,DLZ,Delaware,Delaware Municipal - Jim Moore Field,None,0%,341
991,WP,AZ,DVT,Phoenix,Phoenix Deer Valley,None,0%,"18,770"
992,WP,AZ,SEZ,Sedona,Sedona,None,0%,559
993,WP,CA,TRK,Truckee,Truckee-Tahoe,None,0%,"1,375"
994,SO,FL,X04,Plymouth,Orlando Apopka,None,0%,0
995,NE,MA,AQW,North Adams,Harriman-And-West,None,0%,65
996,NM,ID,COE,Hayden Lake,Coeur D'Alene - Pappy Boyington Field,None,0%,"1,315"
997,NE,ME,0B1,Bethel,Bethel Regional,None,0%,16
998,NE,ME,CAR,Caribou,Caribou Municipal,None,0%,787
999,CE,NE,ANW,Ainsworth,Ainsworth Regional,None,0%,160
1000,SO,AL,MDQ,Huntsville,Huntsville Executive Airport Tom Sharp Jr Field,None,0%,67
1001,WP,CA,TRM,Palm Springs,Jacqueline Cochran Regional,None,0%,"1,706"
1002,NM,CO,AJZ,Delta,Blake Field,None,0%,179
1003,SO,FL,ISM,Kissimmee,Kissimmee Gateway,None,0%,"1,886"
1004,NM,MT,MLS,Miles City,Frank Wiley Field,None,0%,"8,157"
1005,EA,NJ,WWD,Wildwood,Cape May County,None,0%,189
1006,SW,OK,WWR,Woodward,West Woodward,None,0%,225
1007,GL,SD,HSR,Hot Springs,Hot Springs Municipal,None,0%,1
1008,GL,WI,ASX,Ashland,John F Kennedy Memorial,None,0%,127
1009,NM,WY,SAA,Saratoga,Shively Field,None,0%,699
1010,AL,AK,UGB,Pilot Point,Ugashik Bay,None,0%,"1,732"
1011,NM,CO,FTG,Watkins,Front Range,None,0%,16
1012,GL,IN,4I7,Greencastle,Putnam County Regional,None,0%,90
1013,GL,MI,MOP,Mount Pleasant,Mount Pleasant Municipal,None,0%,149
1014,CE,NE,72NE,Springfield,J&J,None,0%,13
1015,SO,TN,JWN,Nashville,John C Tune,None,0%,"3,587"
1016,NE,VT,6B0,Middlebury,Middlebury State,None,0%,46
1017,NM,WA,WA79,Amboy,Walter Sutton's Private Strip,None,0%,"5,215"
1018,AL,AK,ENN,Nenana,Nenana Municipal,None,0%,938
1019,AL,AK,KPB,Point Baker,Point Baker,None,0%,312
1020,AL,AK,L20,Yukon Charley Rivers,Coal Creek,None,0%,46
1021,GL,IL,I63,Mount Sterling,Mount Sterling Municipal,None,0%,94
1022,SO,SC,RBW,Walterboro,Lowcountry Regional,None,0%,322
1023,SO,SC,UZA,Rock Hill,Rock Hill/York County/Bryant Field,None,0%,88
1024,SO,FL,SUA,Stuart,Witham Field,None,0%,"3,324"
1025,GL,MI,LWA,South Haven,South Haven Area Regional,None,0%,181
1026,EA,NY,RME,Rome,Griffiss International,None,0%,"8,923"
1027,AL,AK,IYS,Wasilla,Wasilla,None,0%,749
1028,WP,AZ,2AZ6,Oro Valley,Horizon,None,0%,0
1029,WP,CA,CCR,Concord,Buchanan Field,None,0%,"1,083"
1030,SW,LA,HDC,Hammond,Hammond Northshore Regional,None,0%,500
1031,EA,NY,GFL,Glens Falls,Floyd Bennett Memorial,None,0%,494
1032,SW,TX,GLS,Galveston,Scholes International at Galveston,None,0%,"20,009"
1033,WP,AZ,FFZ,Mesa,Falcon Field,None,0%,229
1034,EA,DE,GED,Georgetown,Delaware Coastal,None,0%,670
1035,EA,MD,GAI,Gaithersburg,Montgomery County Airpark,None,0%,494
1036,NM,OR,S03,Ashland,Ashland Municipal-Sumner Parker Field,None,0%,142
1037,AL,AK,CKX,Chicken,Chicken,None,0%,222
1038,AL,AK,KOY,Olga Bay,Olga Bay,None,0%,150
1039,SO,AL,07A,Union Springs,Franklin Field,None,0%,0
1040,WP,CA,TOA,Torrance,Zamperini Field,None,0%,355
1041,SO,FL,DTS,Destin,Destin Executive,None,0%,"2,139"
1042,CE,IA,CWI,Clinton,Clinton Municipal,None,0%,54
1043,GL,MI,ARB,Ann Arbor,Ann Arbor Municipal,None,0%,474
1044,NM,OR,LKV,Lakeview,Lake County,None,0%,172
1045,SW,TX,BYY,Bay City,Bay City Municipal,None,0%,85
1046,NM,WA,WA09,Roche Harbor,Roche Harbor,None,0%,118
1047,AL,AK,5AK0,Trading Bay,Trading Bay Production,None,0%,"3,762"
1048,AL,AK,76AK,Delta Junction,Pogo Mine Airstrip,None,0%,965
1049,AL,AK,HYG,Hydaburg,Hydaburg,None,0%,314
1050,EA,DE,DOV,Dover,Dover AFB,None,0%,"10,410"
1051,SO,FL,MTH,Marathon,The Florida Keys Marathon International,None,0%,"8,872"
1052,CE,IA,FXY,Forest City,Forest City Municipal,None,0%,15
1053,NE,MA,0B5,Montague,Turners Falls,None,0%,71
1054,EA,MD,ESN,Easton,Easton/Newnam Field,None,0%,"1,624"
1055,EA,NY,MSV,Monticello,Sullivan County International,None,0%,183
1056,NE,RI,OQU,North Kingstown,Quonset State,None,0%,993
1057,SW,TX,ASL,Marshall,Harrison County,None,0%,15
1058,SW,TX,RBD,Dallas,Dallas Executive,None,0%,115
1059,EA,VA,JYO,Leesburg,Leesburg Executive,None,0%,"1,727"
1060,AL,AK,TLJ,Takotna,Tatalina LRRS,None,0%,889
1061,SO,FL,MKY,Marco Island,Marco Island,None,0%,523
1062,SO,GA,FTY,Atlanta,Fulton County Airport-Brown Field,None,0%,"4,702"
1063,NM,ID,BYI,Burley,Burley Municipal,None,0%,90
1064,GL,MN,AXN,Alexandria,Chandler Field,None,0%,785
1065,WP,NV,ELY,Ely,Ely /Yelland Field/,None,0%,"12,083"
1066,GL,OH,AKR,Akron,Akron Fulton International,None,0%,236
1067,SO,TN,SNH,Savannah,Savannah-Hardin County,None,0%,12
1068,AL,AK,WCR,Chandalar Lake,Chandalar Lake,None,0%,716
1069,AL,AK,WSJ,San Juan,San Juan /Uganik/,None,0%,155
1070,SO,AL,1A9,Prattville,Prattville - Grouby Field,None,0%,78
1071,WP,AZ,AVQ,Marana,Marana Regional,None,0%,315
1072,WP,CA,LVK,Livermore,Livermore Municipal,None,0%,901
1073,SO,FL,VDF,Tampa,Tampa Executive,None,0%,137
1074,GL,ND,S25,Watford City,Watford City Municipal,None,0%,16
1075,EA,NJ,39N,Rocky Hill,Princeton,None,0%,84
1076,NM,WA,W28,Sequim,Sequim Valley,None,0%,336
1077,WP,CA,MOD,Modesto,Modesto City County-Harry Sham Field,None,0%,"257,240"
1078,EA,MD,MTN,Middle River,Martin State,None,0%,"1,966"
1079,NE,ME,SFM,Sanford,Sanford Seacoast Regional,None,0%,751
1080,NM,MT,88M,Eureka,Eureka,None,0%,45
1081,WP,NV,88NV,Gerlach,Black Rock City,None,0%,24
1082,EA,NY,LKP,Lake Placid,Lake Placid,None,0%,"1,507"
1083,EA,PA,THV,York,York,None,0%,236
1084,SW,TX,ADS,Dallas,Addison,None,0%,"5,047"
1085,SW,TX,GKY,Arlington,Arlington Municipal,None,0%,641
1086,AL,AK,ORT,Fairbanks North Star (Borough),Northway,None,0%,175
1087,WP,CA,SAC,Sacramento,Sacramento Executive,None,0%,841
1088,WP,CA,SQL,San Carlos,San Carlos,None,0%,497
1089,SO,FL,DED,DeLand,DeLand Municipal-Sidney H Taylor Field,None,0%,"1,025"
1090,SO,FL,FMY,Fort Myers,Page Field,None,0%,"1,181"
1091,EA,MD,CBE,Wiley Ford,Greater Cumberland Regional,None,0%,143
1092,GL,MN,ONA,Winona,Winona Municipal-Max Conrad Field,None,0%,149
1093,NM,MT,S27,Kalispell,Kalispell City,None,0%,335
1094,EA,PA,CKZ,Perkasie,Pennridge,None,0%,80
1095,SW,TX,T82,Fredericksburg,Gillespie County,None,0%,205
1096,NM,WA,63S,Colville,Colville Municipal,None,0%,94
1097,WP,AZ,INW,Winslow,Winslow-Lindbergh Regional,None,0%,48
1098,GL,IN,TYQ,Zionsville,Indianapolis Executive,None,0%,"1,620"
1099,GL,MI,3GM,Grand Haven,Grand Haven Memorial Airpark,None,0%,53
1100,EA,NY,VGC,Hamilton,Hamilton Municipal,None,0%,189
1101,NE,RI,SFZ,Pawtucket,North Central State,None,0%,202
1102,NM,UT,36U,Heber City,Heber City Municipal - Russ McDonald Field,None,0%,584
1103,NM,WA,WA18,Decatur Island,Decatur /Jones/,None,0%,21
1104,SW,AR,MEZ,Mena,Mena Intermountain Municipal,None,0%,512
1105,WP,AZ,GYR,Goodyear,Phoenix Goodyear,None,0%,173
1106,WP,CA,F70,Riverside (County),French Valley,None,0%,314
1107,WP,CA,LHM,Lincoln,Lincoln Regional/Karl Harder Field,None,0%,236
1108,SO,GA,LZU,Lawrenceville,Gwinnett County - Briscoe Field,None,0%,422
1109,SO,NC,ONX,Currituck,Currituck County Regional,None,0%,104
1110,SW,NM,SKX,Taos,Taos Regional,None,0%,"1,258"
1111,EA,NY,HTF,Hornell,Hornell Municipal,None,0%,7
1112,SW,TX,PIL,Port Isabel,Port Isabel-Cameron County,None,0%,24
1113,NM,UT,U55,Panguitch,Panguitch Municipal,None,0%,210
1114,NM,WA,83Q,Poulsbo,Port of Poulsbo Marina Moorage,None,0%,7
1115,NM,WA,BVS,Burlington,Skagit Regional,None,0%,606
1116,AL,AK,2K5,Telida,Telida,None,0%,137
1117,AL,AK,A14,Portage Creek,Portage Creek,None,0%,"1,692"
1118,AL,AK,D66,Delta Junction,Delta Junction,None,0%,676
1119,WP,CA,MYV,Marysville,Yuba County,None,0%,283
1120,WP,CA,SBD,San Bernardino,San Bernardino International,None,0%,395
1121,GL,IN,FRH,French Lick,French Lick Municipal,None,0%,47
1122,SO,KY,IOB,Mount Sterling,Mount Sterling-Montgomery County,None,0%,309
1123,EA,NJ,CDW,Caldwell,Essex County,None,0%,"1,041"
1124,EA,NJ,MJX,Toms River,Ocean County,None,0%,132
1125,NM,OR,24S,Pinehurst,Pinehurst State,None,0%,0
1126,NM,OR,RBG,Roseburg,Roseburg Regional,None,0%,351
1127,EA,PA,FIG,Clearfield,Clearfield-Lawrence,None,0%,2
1128,AL,AK,KPY,Port Bailey,Port Bailey,None,0%,111
1129,WP,AZ,OLS,Nogales,Nogales International,None,0%,84
1130,GL,MI,OZW,Howell,Livingston County Spencer J Hardy,None,0%,50
1131,NE,NH,EEN,Keene,Dillant-Hopkins,None,0%,332
1132,EA,NY,1B1,Hudson,Columbia County,None,0%,111
1133,GL,OH,ZZV,Zanesville,Zanesville Municipal,None,0%,619
1134,GL,WI,SUE,Sturgeon Bay,Door County Cherryland,None,0%,962
