,FAA Region,ST,Locid,City,Airport Name,Hub,04-14 perc. enplanements,Total Enplanements
237,EA,NY,ITH,Ithaca,Ithaca Tompkins Regional,N,0%,"1,072,812"
238,SW,TX,ABI,Abilene,Abilene Regional,N,0%,"901,159"
239,SW,AR,FSM,Fort Smith,Fort Smith Regional,N,0%,"969,539"
240,GL,OH,LCK,Columbus,Rickenbacker International,N,0%,"230,237"
241,AL,AK,ADQ,Kodiak,Kodiak,N,0%,"864,022"
242,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,N,0%,"772,130"
243,WP,CA,SCK,Stockton,Stockton Metropolitan,N,0%,"434,990"
244,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,N,0%,"726,507"
245,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,N,0%,"1,191,020"
246,AL,AK,SCC,Deadhorse,Deadhorse,N,0%,"457,258"
247,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,N,0%,"789,684"
248,SW,NM,SAF,Santa Fe,Santa Fe Municipal,N,0%,"335,744"
249,SO,NC,JQF,Concord,Concord Regional,N,0%,"90,537"
250,SW,TX,TYR,Tyler,Tyler Pounds Regional,N,0%,"857,185"
251,SO,PR,VQS,Vieques,Antonio Rivera Rodriguez,N,0%,"395,493"
252,NM,UT,SGU,St. George,St George Regional,N,0%,"545,207"
253,SW,LA,LCH,Lake Charles,Lake Charles Regional,N,0%,"627,014"
254,NM,ID,SUN,Hailey,Friedman Memorial,N,0%,"662,393"
255,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,N,0%,"594,497"
256,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,N,0%,"684,019"
257,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,N,0%,"681,416"
258,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,N,0%,"311,984"
259,CE,KS,MHK,Manhattan,Manhattan Regional,N,0%,"402,828"
260,WP,AS,PPG,Pago Pago,Pago Pago International,N,0%,"558,986"
261,NE,MA,HYA,Hyannis,Barnstable Municipal-Boardman/Polando Field,N,0%,"1,580,884"
262,NM,UT,PVU,Provo,Provo Municipal,N,0%,"143,613"
263,CE,MO,COU,Columbia,Columbia Regional,N,0%,"331,285"
264,CE,NE,GRI,Grand Island,Central Nebraska Regional,N,0%,"319,130"
265,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,N,0%,"685,143"
266,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,N,0%,"650,819"
267,SW,TX,ACT,Waco,Waco Regional,N,0%,"733,678"
268,NM,WA,EAT,East Wenatchee,Pangborn Memorial,N,0%,"525,105"
269,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,N,0%,"706,226"
270,AL,AK,OME,Nome,Nome,N,0%,"656,979"
271,NE,MA,ORH,Worcester,Worcester Regional,N,0%,"204,965"
272,WP,CA,ACV,Arcata,Arcata,N,0%,"957,480"
